title,stars,text
If you haven't seen this what are YOU waiting for !!! Hilarious!!,5,If you haven't seen this what are YOU waiting for !!! Hilarious!!
Life changing experience,5,"Napoleon Dynamite has literally changed my life. Because of this movie, I survived high school and learned some sick dance movies. Napoleon taught me the importance of self defense, and that nun chucks are a must. This movie will truly turn your whole life around."
funny movie,5,funny movie
A quirky and original comedy.,4,"Though this starts out slowly, stick with it all the way through, as it's well worth finishing. This is the kind of comedy that grows on you, getting funnier with repeated viewings. A family favorite!"
"Great funny, silly, deep movie if you pay attention to the details.",5,The first time I watched this movie I did not totally get it. I have watched it many times since and it just gets funnier as you pickup little details.
The movie is very funny. It is very relatable for those who were ...,5,The movie is very funny.  It is very relatable for those who were raised or lived in small towns.
Five Stars,5,Did Napoleon Dynamite meet my expectations? Heck Yes it did!
Better than you may remember,5,It's a lot better now that there's not a bunch of people quoting and referencing the movie.
Two Stars,2,What the heck?
Five Stars,5,This movie gets funnier every time I see it.
Five Stars,5,This movie is a classic.
A work of art.,5,Best movie of all time
They really liked it!,4,I rented it for my girls to watch. They really liked it!
Best. Movie. Everrrrr,5,Best movie ever. Must like goofy movies. Gets better every time you watch too.
A must see classic,5,Great movie
when you need to be brilliantly bored,2,no brain humor but a must see for some good one liners.
Heck yes!,5,"Napolean's sweet dance moves, duh!  Vote for Pedro!"
Five Stars,5,Cult classic!
Five Stars,5,Super funny!!!!
Five Stars,5,Excellent buy!
Amazing classic,5,"This movie is hilarious I remember watching it when I was younger and watching it now just brings back so many good memories,  a must watch! And vote for Pedro!"
If you have nothing to do,3,A stupid kinda comedy that keeps you interested but not....
Five Stars,5,Great movie! We love it
Five Stars,5,Funny
Five Stars,5,Classic
Five Stars,5,Funny...never disappoints.
Two Stars,2,It is one of the stupider movies ever made.
Five Stars,5,As awesome as I remember.
Cult classic,5,Such a classic! So many quotable lines!
Five Stars,5,"What a great movie ""gosh"".  Really whacky."
A very funny movie the whole family can watch,5,Still funny no matter how many times my family watches it.
One of the best all time comedies,5,Classic. One of the best all time comedies.
Great movie.  Fast shipping.,5,Buy this now!  One of my family's favorite movie.  The bluray is a huge plus.
Best movie ever... GOSH!,5,"Just shows your age when you find this movie hilarious and remember the 80's and early 90's. I found that most people that aren't amused by this movie were born after 95' so I guess kids can't really understand it. Puffy dresses, big hair, trapper keepers, and caboodles. It reflects a time most of us want to forget but can't quite help laughing at. We all knew someone that one of the characters reminds us of. Whether it be Napoleon, Kip, Deb, or Uncle Rico... it's a classic. If only we could go back in time..."
Five Stars,5,Yes!!!!
"Brilliant, funny",5,"Brilliant, funny, perfectly acted, scripted and shot for next to nothing.  Heck yessss!  The BUMMER of the whole thing is that, as a guy who pays$$$$ for Amazon Prime, -- they charged me $3.99 to watch the damn thing."
Four Stars,4,Still funny years later!
One of my favorite movies! I love how weird they all are,5,"One of my favorite movies!  I love how weird they all are, yet each is lovable."
Five Stars,5,Great satire of small town life and growing up there.
Five Stars,5,great great great... sophomoric and great.
Five Stars,5,Hilarious!
A fun goofy movie,5,"Just a fun , goofy, movie with some neat characters! I can watch it over and over again !"
One of the best movies ever made,5,"One of the best movies ever made.  Every line, prop, and costume seem as though they were designed by a genius.  This movie is perfect in every way.  Good clean family fun."
"Pretty funny,but silly",5,Pretty funny but silly too. I enjoyed it.
Four Stars,4,Love the juvenile humor for mindless tv time.
One of my favorites,5,"“Napoleon, don’t be jealous ’cause I’ve been chatting online with babes all day. Besides, we both know that I’m training to become a cage fighter.” With lines like this in a movie, how can you go wrong? If you like off the wall, odd, and often times very subtle comedy, you will love this movie. Jon Heder plays the role of a lifetime in this movie. I have watched this over and over and never tire of it. You results may vary."
Five Stars,5,I'll never get tired of this movie.
Five Stars,5,My hero
Five Stars,5,"""Tina, come get some food!"""
Like a fine wine,5,"Classicly awesome - time has not tarnished it at all, to mix my metaphor."
Five Stars,5,Awesome thanks!
Funny story,4,"Contrary to the title, there was no actual dynamite in the film. Funny story though"
Nunchuck skills,4,I'll watch it whenever i want to Gosh!
Great Value for the price,5,I am pleased with my purchase. Absolutely LOVE THIS MOVIE
Five Stars,5,Was a birthday gift & the recipient was ALL smiles.👍🏻
Five Stars,5,My grandson's favorite!!
Five Stars,5,Great!
Five Stars,5,Lucky!
Napoleon is a must see!,5,"I love Napoleon Dynamite! Those dance moves, snow boots and everybody loves Tina!"
Five Stars,5,"Great movie, everyone should have it."
Five Stars,5,Funny movie.
Boring,1,Overall boring movie for me and the movie is for  people who like awkward humor but for me there wasn't much punch line to the movie
Five Stars,5,Lovable Dork!
Too Funny,5,One funny show!
Lucky!,5,Funny movie!  Get's funnier with easy showing!
Four Stars,4,Some parts lagged on.
I really like this movie because it was an interesting satire,5,"I really like this movie because it was an interesting satire. It was very random and i like that. I lke napolean's personality, like, meeeeeeeeeee. Yes."
One of my all time favorite movies. Every time I watch it it gets ...,5,One of my all time favorite movies. Every time I watch it it gets funnier and funnier. Even my 16 year old niece loves this movie. Cult classic that everyone needs to watch at least once.
I love this movie,5,"I love this movie!!! I watched this movie with my husband last night. It's a fun no thinking required movie. We laughed through the whole thing.  If you are looking for a night of laughter and and fun, then this is the movie for you.  We will be watching this again. :) I recommend this movie for older teens and adults."
classic,5,Its a cult classic and my family loves it
Love it!,5,Always a hit at my house.  A great movie.
Five Stars,5,classic
Five Stars,5,Great movie
Five Stars,5,This movie deserves a 6 star rating
Five Stars,5,Vote for Pedro.
What?,2,"No plot, no likeable characters, everyone in the movie seems to have been intentionally made not just average, but far *below* average in all aspects. There are a few scenes that elicit a couple laughs, but for every one of those scenes there are a dozen that challenge you to care about anything going on in them. That this movie was ever any sort of a success makes me lose hope for humanity."
A cult classic,5,Great quirky comedy.  A cult classic
Boys love it. It was a gifts for my teens,5,Boys love it.  It was a gifts for my teens.
Four Stars,4,Hilarious comedy.
Four Stars,4,Great movie
"Excellent comedy, never get tired of watching it",5,"Excellent comedy , never get tired of watching it!!"
Five Stars,5,always have.
Maybe if we were high? Just couldn't get through ...,1,Maybe if we were high?  Just couldn't get through the whole thing.
Five Stars,5,Great
Five Stars,5,Watched it through and it worked fine. Good addition to my collection.
Boring,1,Boring. EVERYtime I watch this movie I forget that all the funny parts are in the trailer. And for the rest of the movie i sit there wondering why I've wasted my time again!
A classic,5,Always a safe choice
Surprisingly Fantastic Show!,5,"Wasn't sure if I'd enjoy this flick and was most pleasantly surprised, a description wouldn't do this movie justice, just watch it!"
Three Stars,3,Hilarious satirical example of high school life.
Freakin sweet!,4,Still funny after all these years. Instant classic. Kip is one of the most underrated characters in movie history.
Five Stars,5,Three thumbs up!
Four Stars,4,Such a silly movie !
Two Stars,2,I had watched this movie many years ago. It's still just okay.
Vote for Pedro,5,"It's s classic, something I never thought I'd say the first time I watched it with my nephew years ago. Now I've seen it five times or more and it gets funnier each time."
All time classic!,5,An all time classic movie that we watch annually! Very cult like humor.
Five Stars,5,Great Movie
Five Stars,5,one of the funniest movies I have seen. I've probably seen it 10 times
Five Stars,5,"Great old school movie, really original"
Five Stars,5,GREAT QUALITY PERFECT
Five Stars,5,Hilarious classic!
Exactly what I expected,5,Had a blast watching
Love this movie,5,"Love this movie! The weirdest, funniest movie of all time! The more I watch this, the funnier it seems to get!!! I always love showing this to friends who have never seen this before! Really great soundtrack too!!!"
Love this movie,5,Classic movie that made being a dork cool
One Star,1,I like offbeat things but this was just plain bad. Very disappointed. Didn't get past first half-hour.
Five Stars,5,classic
"Funny, goofy",5,"Quirky in so many respects, and yet a delightfully charming story where the hero, as human as anyone of us, does win.  The soundtrack adds a textural layer that really does enhance the development and portrayal of each character.  Funny, goofy, and you'll want to watch it more than once."
hahahha love this,5,hahahha love this movie
Five Stars,5,Loved!
Five Stars,5,Perfect
Five Stars,5,"Fave movie, fast shipping"
One of our all time favorite movies. We just love it,5,"One of our all time favorite movies. We just love it. Its a cult classic of course. It is one of those movies that either a person loves it or hates it, no in between happening here. The stuff that happens it just so stinking funny, who thinks like this? It is a good one for sure. I recommend it to anyone that has a great sense of humor; you cannot take this movie seriously or you will not like it."
cult classic,5,I love this movie and my wife has said that it took watching twice to love it.  Now our kids love it.
Whatever I want!,5,"What a fun, silly movie! One every young teen should see as a right of passage...along with The Princess Bride, Bill and Ted's Excellent Adventure and a few others."
Classic,5,"This movie is a classic. It is mostly about life in the midwest for awkward teen Napoleon and his best friend Pedro. The dialogue is hilarious as well as the characters, which are stuck in a semi retro world were things are barely going."
one of the best cult films ever,5,"hands down, one of the best cult films ever."
Five Stars,5,Awesome
Soooooo funny!,5,So funny regardless of how many times we have seen it!!!!
Five Stars,5,My favorite movie of all time!!!
Five Stars,5,Hilarious!
Five Stars,5,My husband and grandson just love this movie.  Once is enough for me.
Love it.,5,"Had to rent so my kids could watch it. I have to say that each time I watch it, I notice something that I hadn't noticed before.  Great movie."
Gosh!,5,Gosh!
Great movie,5,Best movie ever. So funny
Besides being the best movie ever... quality and price were just right!,5,Great quality at a great price.
funny parts are still funny after all these years,5,we quote this movie all the time.  funny parts are still funny after all these years.  uncle rico's scream in the van!  kip getting slapped by napoleon! good stuff.
Five Stars,5,I love this movie even though I am 51 years old. Pedro and Napolen Rock!
Four Stars,4,Movie has always been funny I just needed this in my collection
Five Stars,5,Bought it for a friend who was giving it to her daughter.
"Fun, cleaner than expected.",4,"Uhhh, I guess it will grow on me like Nacho Libre.  He is a dorky geeky guy you just can't stop imitating.  Fun movie, cleaner than I expected, which was nice!"
Four Stars,4,Classic
Funny for whole family,5,Hysterical - seen it 3 times. Clean for family. A little smarter than slapstick.
Three Stars,3,Eh.....
My 14 year old loved it. She is still quoting​ it over and ...,5,My 14  year old loved it. She is still quoting​ it over and over.
Five Stars,5,Love his sweet dance moves!!
Five Stars,5,good movie
Five Stars,5,Fun movie to watch!  Lots of great satire.
was advised that this was a classic movie. I ...,2,"was advised that this was a classic movie. I could not get through this and neither could anyone else in my family. For some, a classic, but not for us."
Five Stars,5,Best movie ever!
Five Stars,5,These people are insanely funny. I just love the humor
Five Stars,5,my husband loves this movie!
Only a definite X-Gen movie,1,"Must be the wrong generation for this movie.  Recommend by some friends, but truly lost in translation for me!"
Five Stars,5,Great!
Five Stars,5,Great deal
Five Stars,5,Love it!!
A great oddball but sweet teen movie,5,"A great oddball but sweet teen movie, which works on so many levels. Napoleon is the ultimate an anti hero's hero. The school dork turned hero. All the characters that surround him are unusual and extreme. Warning to those who expect non stop excitement, it's slow! However, if you persist, you will be rewarded. Plus best use of a Jamiroquai track since Godzilla!"
Classic,5,"Classic worth watching every couple of years. Plus it was filmed in Idaho, making it close to home as well."
Five Stars,5,TOTS!
Five Stars,5,love it
Better than I remembered.,5,Watched it again with my kids. It really is a cute movie.
Five Stars,5,Awesome
Five Stars,5,Love the movie
Five Stars,5,Loved it!
Classic!,5,😀
Five Stars,5,Awesome Movie....
Funny and light,5,Always a fun movie to watch. Cute love story but it is really a movie about food. Watch it and you will get what I mean.
Get it!,5,Absolutely hilarious. Very dry humor. Love it
Five Stars,5,Always fun to watch! GOSH!
Vote for Pedro! Great Movie.,5,Definitely a cult classic. A must see. Vote for Pedro!
Three Stars,3,This was a gift. No complaints as of this date.
Four Stars,4,Classic dry comedy based on the life of a socially awkward teen living in Idaho.
Five Stars,5,Gets better with time...
Five Stars,5,1 of my fave comedys . cant wait 2 get on bluray .
Great movie,5,"Best movie ever, love to watch it with my son"
BAD SERVICE,1,bad service ! doesnt even work ! the dvd was all scratched up !
Four Stars,4,Stupidly hilarious
Cult Classic,4,"Classic.  Catch something funny and new every time I watch it, which I've seen well over 40 times."
It was great for mom and dad to relive the funny moments ...,5,"Hilarious movie! I've watched it many times before but when my 12 year old asked about it the only place we could find it was amazon so we watched it that night. It was great for mom and dad to relive the funny moments of our first time watching it, and it was great because it made my son laugh the whole way through. He is now walking around our house repeating many lines from the movie such as the ""are you going to eat your Tater-Tots"" line! Thanks for making this movie available to us to watch again when no one else did!"
Two Stars,2,Pointelss movie.
Five Stars,5,Stupid Funny. Showed the kids for the first time. They loved it too.
a beautifully done movie,5,"a beautifully done movie, steeped in irony and cleverness, and with its muted emotional range of expression, kind of to our times what anti-heroes were to the 60's. In its delicious spoofing of ordinary American life, it leaves us with a sense of the joy we can still eke out of the bleak landscapes in which most Americans live, almost without realizing we are doing so. A minor masterpiece."
Five Stars,5,Very funny movie...Napolian - just eat the D#@% Ka sa dillas~!
Five Stars,5,Awesome!!
"Make a sequel that rises up the so called ""nerds.""",1,"Terrible movie that makes fun of ""nerds.""My family thinks I'm taking it too seriously, but I do not.Someone make a movie that raises up the disenfranchised who attend public and private schools. They need to be raised up more than any others. Let's get real people!"
Extremely lame! Maybe as a high school senior project,1,"low budget Bill Murray knock-off.  Extremely lame!  Maybe as a high school senior project, but not for national release.  Please!"
Five Stars,5,Awesome!
Five Stars,5,One of our family favorites.
I'll watch it anytime it's on,5,Always great.  The kid s loved it.  I could watch it again and again.
Five Stars,5,Love this movie.
Five Stars,5,What do you think gosh?
Great movie,5,The funniest movie I ever seen! I can watch this movie over and over and still laugh! One of my all time favorites!
Five Stars,5,LOVE
I loved the cheesy 80's feel good flavor of it,5,I loved the cheesy 80's feel good flavor of it! I'm sick in bed and it made my day a better one.
Four Stars,4,Warning: you'll find yourself quoting from this movie all the time.
"Fun movie, appropriate for the family",5,"Definitely campy!  Absolutely no plot (although some family members disagree with that opinion), but just fun and funny!  One nice thing is that it is totally clean... no offensive language, nudity, sexuality, or drug/alcohol references."
To funny!,5,"Cult classic, some get it, others don't."
Great lines,5,"A great movie that you can watch with your kids that will make you laugh out loud.  A bit quirky but that is what is great,"
CLASSIC!,5,"Classic.What do you say about this movie other than awesome, terrific, funny, excellent dry humor."
Hilarious all-round!!,5,"If you love campiness, a good script, and great actors, you will love this movie!"
Five Stars,5,I love it
boo hiss!,1,I forgot how dumb this movie is! A waste of time!
Four Stars,4,Ok
Five Stars,5,Funny
Five Stars,5,Classic comedy.
Love this movie,5,"Love this movie! The more I watch it, the more I pick out new things that I didn't notice before."
Five Stars,5,Brilliant film.
Some of the 80's jokes/references were fun to see,1,"This is $4 and 1.5 hours of my life I can't get back. Some of the 80's jokes/references were fun to see, but that was about it. I don't see why folks like this movie so much."
Quirky and funny,4,Quirky and enjoyability. The movie is a funny reminder of the mid 2000's. I watched it with my younger teenage boys and they loved it.
Five Stars,5,crazy cult classic.
Five Stars,5,Super quirky and funny!
Good funny movie you'll enjoy.,5,Funny movie with plenty of laughs.
Five Stars,5,Picks me up when Im feeling down. Classic!
Five Stars,5,THE BEST
A must have,5,Already is a classic.  Must have.
"Excellent, great addittion to our cult",5,"Excellent,  great addittion to our cult collection"
The kind of movie you either love or hate,5,"I'm pretty sure this is the kind of movie you either love or you hate. I think it's great, especially if you lived through the 90s. It's just quirky and ridiculous and rather heartwarming."
Five Stars,5,one of my favorite movies EVER.
Five Stars,5,Awesome movie! Get your own tots!
Silly fun,4,"Everyone knows this movie is supposed to be stupid fun, and that's just what it is."
great,5,Have a ten year old son that had never saw this movie laughed the whole movie
Classic!,5,How can you not like Napoleon Dynamite....It is a classic!
Five Stars,5,Sweet
Does nothing but improve with age.,4,"This movie is funnier every time I see it.  Therefore, I now own it.  It puts the quirk in quirky.  I'm not sure what I like more, the fact that it is 2000's Idaho stuck in 1984 or the random musical doodling on a casio electric piano that is the soundtrack (along with built in background rhythm line.)  It has one of the most surprising upbeat endings of any movie out there.  If you've never seen it, it is definitely worth watching and if you have, watching again."
Five Stars,5,Best movie ever.
wow.,1,"Let me start by openly admitting that I am an 80's throwback and proud of it. I understand that my era did not produce horribly intelligent, deeply touching movies. That being said, this movie puts the Du-h! in Dumb!!  My teenage daughter had seen it a sleepover, so we rented it so she could show me how silly it is for our girly night.  She actually got tickled at a few spots on her second run through it. I sat open mouthed, amazed at the sheer senselessness of the whole thing...waiting desperately for a plot or growth of a character. None came. Since we had it rented for the weekend, she showed it to her older brother the next night. She giggled again, and he snickered with a confused look on his face once in a while. Then we couldn't let my Hubby miss out on the sheer stupidity of it all, so we watched it with him on Sunday afternoon.  Our daughter and son both snickered here and there, mostly at the looks on their parents' faces.  My husband was, as was I, gobsmackered. We kept looking at each other as if to assure each other that it was indeed that painfully dumb.  The only real emotion I felt was a horribly heartbroken, sick to my stomach feeling for Napoleon and his friends for being so awkward and socially inept...I remember kids who struggled in school that way, and I always almost cried every time I saw them in a tough situation.  If anything it brought back bad memories of school....who needs that?  Anyway, all this to say it is a story about an awkward boy who uses bluster and dumb responses to deal with not fitting in.  It follows (if you can exaggerate and say there is a plot) him as he finds friends (just as goofy as he) and finds romance...sort of."
One Star,1,dumb as dumb can be
Five Stars,5,So funny!
It's a great movie you idiot,5,It has skills
Five Stars,5,Hilarious
Wish I wouldn't have seen it.,2,"I was really hoping to laugh more. I wanted to. I just couldn't. I knew it was going to be ""dumb"" humor from what I had been told. Sadly it was lacking in the humor potion.There is really no plot buildup. I'm not sure what the point was."
Five Stars,5,<3 me some Dynamite!
Four Stars,4,my Grandchildren like it
Tina you fat lard! Come get your dinner😂,5,Funniest movie i have seen
Five Stars,5,"Funny, eclectic, clean, loved it!"
Vote for Pedro!,5,Classic parody of life in some parts of Idaho! lol
Goofy comedy,4,"Quick story recap. Napoleon Dynamite is the biggest geek in the world and this movie just follows him, and his nerdy brother Kip, family and friends.  His friend Pedro runs for class president and Napoleon does his best to help.Acting wise, Jon Heder is perfect as Napoleon, He nails the type of guy everyone has known or met at least once in your life.Overall it's a goofy but funny movie. There are some lines that crack me up and Napoleon's dance is awesome.  It's a fun way to kill some time."
Silly Movie..  Vote for Pedro,5,Silly Movie.  Great Blu-ray transfer.
Three Stars,3,A classic.
Highly Entertaining,5,This is one of my all time favorite movies. My whole family loves it. The music is great. The actors make the characters come to life and are so believable. It touches all me emotions without making me feel any particular way too strongly.
One Star,1,Dumb movie! Can't believe I watched it.
Jon Heder was born for this.,5,Everybody knows this is the greatest movie ever.
Five Stars,5,Thank you!
Stupid is as stupid does,4,"This is a stupid movie, but watching it with my grandson. . . PRICELESS"
Nappy wins!,5,Painfully awkward but a classic!
One Star,1,very stupid movie. Can't believe I paid to watch this movie
A new classic.,5,Love it!  Especially his dance at the end. It is a true snapshot of teenage angst and the power of friends.
Five Stars,5,So funny!
Five Stars,5,Fun for the entire family.  We quote this movie daily!  Love it!
Five Stars,5,😂😂
"WE LOVE LIGER'S TOO, NAP D! :-)",5,"""Gosh."" My little tots, i.e. my adorable nephews and me call this *our movie* now and we quote it all the time to each other. And to share something fun like that together is ""Friggin' Sweet!"" :) :)"
Five Stars,5,Love Love Love!!!!
One Star,1,Lame
Great Movie,5,Very funny. You'll like this
Five Stars,5,always a great movie!
Five Stars,5,Love it!
John Heder is totally entertaining!,5,Funny movie you can watch over and over again.
Napoleon Dynamite - Must See,4,"This movie was all the hype when it came out, and it still stands up with some extremely funny moments, like when Rico throws a steak at Napoleon. The movie follows a strange and awkward boy, Napoleon, his new friendships, and his family. Everyone lives kind of a depressing life in the middle of nowhere Idaho. If you haven’t seen this cult movie, you must have been locked up in a closet or something."
"Funny movie, Easy time downloading rental from",4,"Funny movie,Easy time downloading rental from Amazon"
One Star,1,Not at all what I thought it was going to be.  I fell asleep.
Four Stars,4,Very funny cult classic!
If you like subtle humor this is your movie,5,It took me like three hours to finish this review. Tina is starving and grandma's coccyx is on the mend.  Lloyd has made the steaks and uncle Rico just found a way back to 1982.  Excellent movie to watch half a dozen times. You'll find something new every time.
Love it.,5,It's a classic. Love it.
Five Stars,5,Classic indie movie!
Movie sucked. Was the worst movie one seen since Istar,1,Movie sucked. Was the worst movie one seen since Istar. My son wanted to watch it because one of his friends thought it was funny. It was so... bad... Did I mention it sucked!
Funny movie,5,I love this movie it's so stupid it's funny.
So funny!,5,Funniest movie out there!
Best Movie Ever!,5,Best Movie Ever!
Bomb... not the good kind,1,Watched by a 12 year old and a 21 year old.  Both thought it was in the worst 20 movies they had ever seen.  Save your money on this one.  Not funny or entertaining.
Brilliantly Written Comedy,5,The best comedy on TV. I have watched Napoleon Dynamite over and over. This movie helps to revive me when I am sad and down.Brilliant Cast and writing.Love IT !!!!!
Five Stars,5,Forever classic.
Horrible movie,1,It actually hurt my brain to watch this.
Five Stars,5,Still a classic funny movie.  Grandkids loved it!
Classic!! Good movie.,5,A classic!! You'll love it. A clean funny movie.
just the most awesome thing since nunchucks were made,5,"Duh, just the most awesome thing since nunchucks were made.  Jeez!"
Five Stars,5,Classic flick with so many quotable quotes.  That's what I'm talkin' about.
Five Stars,5,Great Flick
Five Stars,5,It a did.  Yeah
Four Stars,4,Very funny.
My daughters love it. I thought I would give it a ...,2,"My daughters love it.  I thought I would give it a try.  But I couldn't make it through the whole movie. I give it a second star for my daughter's sake, but I would give it 1."
Sweet Youth,4,This marks the 5th time I've watched this movie.  More little prizes are unwrapped each time I watch it.  Make sure you watch the final scene - AFTER the credits!
A classic,5,Awesome movie for all ages
Five Stars,5,This movie is very funny and original.
best movie,5,favorite movie ever
Five Stars,5,one of my Husbands favorite movies! Good clean funny
Five Stars,5,My all time favorite!
How do you think I got to wear these bad boys?,5,This movie is awkwardly funny and reminds us of all the characters in our lives. Lots of laughs.
Gotta Vote For Pedro,5,"The weirdest, oddest and stupidest movie ever made and somehow I CAN'T STOP WATCHING IT..."
Five Stars,5,Great Movie!
Pop Culteral Literacy,5,"Napolean Dynamite. 'Nuff said? If you haven't seen it yet, you need to."
Luckeeeeee!,4,"I love this silly, quirky movie.  Whenever I need to laugh at crazy stuff, this is the movie I choose."
Gosh this movie is epic,5,Funniest movie! We die laughing it every single time. Its clean and appropriate for children and their parents will be doubled over with laughter. Its an odd movie which makes it even funnier! Just get it and watch it with some friends. You wont be disappointed.
"not as funny as i remember, but kids love it",3,"not as funny as i remember, but kids love it"
Five Stars,5,This is a great movie...definitely cult classic status!!!
Great quality.,5,On our all time favorites list.  Great quality.
Five Stars,5,Such a study on human nature...so funny
Five Stars,5,Classic cult movie.
still just as funny!,4,"Saw it after not having seen it in several years, still just as funny!"
Five Stars,5,Loved it
Five Stars,5,I love this movie!
My kids love it too! :),5,I loved it when it came out. Still do.
Lots of funny one liners,5,Make all your wildest dreams come true! - This movie has a cult following kind of has a 'dry humor' to it. Lots of funny one liners.
Fast Delivery Great Movie!,5,Fast Delivery Great Movie!
Cult classic hit that I will always love.,4,"Hilarious in it's own unique way. Love it or hate it, it will forever be a cult classic. Gosh!"
Four Stars,4,This is a funny movie that can be shown in any setting.
Vote for Pedro,5,How can you not love this movie?!?! It's a cult classic!
Five Stars,5,you have to watch it more than once to really appreciate it.  Well worth watching.
One of the my favorite movies - ever!!,5,"I think this is a must have for anybody with teenage kids - or even without them.  This is a classic!So may memorable lines including, ""What the flip?!""  or ""I don't mean to make you jealous, but I've been chatting with chicks online all morning."""
Five Stars,5,Just plain awesome
Five Stars,5,Got this movie for my grandsons and they LOVE it.  It is very funny.
Four Stars,4,"Still really dumb. Still really funny. I don't think it'sreally a 4-star movie, but catch myself laughing throughout."
Painful to watch if your IQ is over 80,2,Painful to watch if your IQ is over 80.
watch it... again & again,5,YESSSSSSSSSS
It was fun again to see and make fun of,4,"Dumbest movie ever. HOWEVER, I knew that before I purchased it. It was fun again to see and make fun of. Laugh at all of the stupid stuff. I just wanted to have it in my library so I could see it every now and then and laugh."
Five Stars,5,Love this movie. Packaged exactly as I bought it years ago for full price.
Five Stars,5,Hilarious movie and lots of fun. Shipping was fast.
Five Stars,5,Off beat look at real America the one we love
Five Stars,5,Oddly fun movie to watch on a rainy day!
Good Clean Silly Fun,5,"Because it's good clean, silly fun!!  I've had the pleasure to view this movie with 2 generations of my family.  If I live long enough for the 3rd generation (after me of course) I'll show them too.  It's always fun to have ""proof"" that Mom/Grandma was a geek when Napoleon does Dairy Products judging as an FFA member.. I took 1st place in high school in yes, you guessed it, Dairy Products judging at National Finals.. LOLOL!"
Four Stars,4,Always a new gem to be discovered no matter how many time you watch.
... with phrases still being said to this day a great movie to own underdogs always have a,5,A cult classic with phrases still being said to this day a great movie to own underdogs always have a chance
Five Stars,5,i love it
"Awesome, funny movie",5,"Awesome,funny movie!"
Five Stars,5,LOVED THIS MOVIE
Five Stars,5,Highly underrated
Funny,5,Funny forgot about this movie was going through found it and let my kids watch it they were laughing through the whole movie.
Five Stars,5,Best addition to my movie collection in years!!!
Five Stars,5,"""It's... Incredible!"""
Five Stars,5,It's the best movie ever...DUH!
One Star,1,Ohhhhhhhh
You must watch this movie,5,"Love, love and love! My children ages 13, 10 and 8 enjoy family movie nights and my husband and I were looking for something that we all could enjoy. This movie was perfect! So much fun and beyond quotable comments. A fun family film!"
Five Stars,5,Love this movie
Funny,5,"For some reason, I think this movie is hilarious, many others disagree."
Five Stars,5,It's a classic. Still laugh when I watch it.
Guys with skills,5,Jon Heder's got skills.
Four Stars,4,A classic
Perfect!,5,Instant and timeless classic!
A must see.,5,Jon Heder's best movie ever.
Five Stars,5,Terrific!
"This movie never gets old, it only gets funnier!",5,"This movie never gets old, it only gets funnier!Always good to watch with friends and family. My nieces and nephews are getting a little bit older  (7-13) and now they love it too!"
Five Stars,5,Wonderful
Painful until you start to see just how f'd up ...,3,"Painful until you start to see just how f'd up Napoleon's world is.  Then his actions become understandable and eventually heroic, but still twisted.  Glad I saw it."
It's Sweet! Like anyone could even know that,5,Goshh.  It's Sweet!  Like anyone could even know that! :)
I am really glad that I can get a movie or show on ...,5,"I am really glad that I can get a movie or show on line and watch them whenever I want on any of the computer’s and or kindle, android devises etc. Thought this movie was good to watch."
Five Stars,5,christmas present
Four Stars,4,Always gives a luagh
I love this movie but the DVD I bought from Amazon ...,2,I love this movie but the DVD I bought from Amazon looks like a pirated copy of the original.
Great Movie!,4,So funny! Love all the characters.
Five Stars,5,Never have any problems with ordering DVDs
This is one of our all time favorite movies when we need to laugh - so funny,5,"This is one of our all time favorite movies when we need to laugh - so funny!Great, clean humor for the family!I hadn't watched it for quite a while, and thought I might not find it as funny now as I did in the past, but I might have laughed harder than ever during this viewing."
SHOULDN'T PASS THIS DEAL!!!!;,5,Got an awesome deal on the price. So glad I got for my collection. Plus great freaking movie. Paid $6.77.b
Five Stars,5,One of our all-time favorite movies.
Four Stars,4,It's just so funny! 'Gossshhh!'
Five Stars,5,Excellent. Best movie ever! My 11 year old son can recite most of the movie. It is hysterical!!
Two Stars,2,Just plain weird.
Hilarious!!,5,Everyone had this guy at school. Oh the 80's. I assume this was representative of the 80's.
Five Stars,5,Classic!
Five Stars,5,My son loves it
The defect is bleach.,5,My Wife thought it was a documentary at first.We still laugh about that.My Kids even loved this one.
Strange humor,2,"Just a strange movie.  There may be some who like the humor, I'm just not one of them."
Four Stars,4,Eat the food Tina!
Four Stars,4,Funny
Great price and great product!  Super fast shipiing with Prime membership.  Highly recommended!,5,Great price and great product!  Super fast shipiing with Prime membership.  Highly recommended!
Five Stars,5,Funny movie!!
Five Stars,5,funny
Funny stuff!!,5,"Love this movie, it's just so funny and makes me remember that time when I was a teenager! Great cult classic!!"
My kids love this movie,5,My kids love this movie!  I had to buy it because I was renting it way too much.  The packaging was fine and it arrived when Prime said it would.  =)
Great movie,5,Great movie and fast shipping.
don't bother with it,1,Not worth your time.
You either get it or not.,4,"You either like this movie or just don't get it at all.  There's not much middle ground.  For a guy who grew up in the 70's/80's in the middle mass of students, not popular or unpopular, it connects on a level that's not easy to describe.  It's low budget, but I liked it in an inexplicable way."
Five Stars,5,Great purchase!
great purchase!,4,"Oldie but goodie, great purchase!"
Five Stars,5,Absolutely hilarious
"My kid loves it, that's all that matters.",5,"My kid loves it, that's all that matters."
Five Stars,5,This movie has some sweet dance moves
Five Stars,5,Buy this movie and all your wildest dreams will come true.
HECK YES!!!,5,from the fuzzy liger skin cover to all the extras-- this is Freakin Awesome!
Five Stars,5,Great movie!
